Standard,Standard_Item_Report,Description,Reporting Category,Unit,Term,Number of Class Sessions Including Review and Assessment,Instructional Days,82,Needed Calendar Days,98.4
8.NS.A.1,8.NS.A.1,"Know that numbers that are not rational are called irrational. Understand informally that every number
has a decimal expansion. For rational numbers show that the decimal expansion repeats eventually, and
convert a decimal expansion which repeats eventually into a rational number.",The Number System,Topic 1: Real Numbers,Term 1,14,,,,
8.NS.A.2,8.NS.A.2,"Use rational approximations of irrational numbers to compare the size of irrational numbers, locate them approximately on a number line diagram, and estimate the value of expressions (e.g., pi^2 ). For example, by truncating the decimal expansion of show that is between 1 and 2, then between 1.4 and 1.5, and explain how to continue on to get better approximations.",The Number System,Topic 1: Real Numbers,Term 1,,,,,
8.EE.A.1,8.EE.A.1,"Know and apply the properties of integer exponents to generate equivalent numerical expressions. For example, 32  3 −5 = 3−3 = 1 ∕3 3 = 1 ∕27",Expressions and Equations,Topic 1: Real Numbers,Term 1,,,,,
8.EE.A.2,8.EE.A.2,"Use square root and cube root symbols to represent solutions to equations of the form x^2 = p and x^3 = p, where p is a positive rational number. Evaluate square roots of small perfect squares and cube roots of small perfect cubes. Know that sqrt(2) is irrational.",Expressions and Equations,Topic 1: Real Numbers,Term 1,,,,,
8.EE.A.3,8.EE.A.3,"Use numbers expressed in the form of a single digit multiplied by an integer power of 10 to estimate very large or very small quantities, and express how many times as much one is than the other. For example, estimate the population of the United States as 3 X 10^8 and the population of the world as 7 X 10^9 , and determine that the world population is more than 20 times larger.",Expressions and Equations,Topic 1: Real Numbers,Term 1,,,,,
8.EE.A.4,8.EE.A.4,"Perform operations with numbers expressed in scientific notation, including problems where both
decimal and scientific notation are used. Use scientific notation and choose units of appropriate size for
measurements of very large or very small quantities (e.g., use millimeters per year for seafloor
spreading). Interpret scientific notation that has been generated by technology.",Expressions and Equations,Topic 1: Real Numbers,Term 1,,,,,
8.EE.B.5,8.EE.B.5,". Graph proportional relationships, interpreting the unit rate as the slope of the graph. Compare two different proportional relationships represented in different ways. For example, compare a distance-time graph to a distance-time equation to determine which of two moving objects has greater speed.",Expressions and Equations,Topic 2: Analyze and Solve Linear Equations,Term 1,13,,,,
8.EE.B.6,8.EE.B.6,Use similar triangles to explain why the slope m is the same between any two distinct points on a nonvertical line in the coordinate plane. Derive the equation y = mx for a line through the origin and the equation y = mx + b for a line intercepting the vertical axis at b.,Expressions and Equations,Topic 2: Analyze and Solve Linear Equations,Term 1,,,,,
8.EE.C.7,8.EE.C.7, Solve linear equations in one variable.,Expressions and Equations,Topic 2: Analyze and Solve Linear Equations,Term 1,,,,,
8.EE.C.7,8.EE.C.7.a,"Give examples of linear equations in one variable with one solution, infinitely many solutions, or no solutions. Show which of these possibilities is the case by successively transforming the given equation into simpler forms, until an equivalent equation of the form x = a, a = a, or a = b results (where a and b are different numbers).",Expressions and Equations,Topic 2: Analyze and Solve Linear Equations,Term 1,,,,,
8.EE.C.7,8.EE.C.7.b,"Solve linear equations with rational number coefficients, including equations whose solutions",Expressions and Equations,Topic 2: Analyze and Solve Linear Equations,Term 1,,,,,
8.F.A.1,8.F.A.1,"Understand that a function is a rule that assigns to each input exactly one output. The graph of a
function is the set of ordered pairs consisting of an input and the corresponding output.",Functions,Topic 3: Use Functions to Model Relationships,Term 1,10,,,,
8.F.A.2,8.F.A.2,"Compare properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions). For example, given a linear function represented by a table of values and a linear function represented by an algebraic expression, determine which function has the greater rate of change.",Functions,Topic 3: Use Functions to Model Relationships,Term 1,,,,,
8.F.A.3,8.F.A.3,"Interpret the equation y = mx + b as defining a linear function whose graph is a straight line; give examples of functions that are not linear. For example, the function A = s2 giving the area of a square as a function of its side length is not linear because its graph contains the points (1, 1), (2, 4) and (3, 9), which are not on a straight line.",Functions,Topic 3: Use Functions to Model Relationships,Term 1,,,,,
8.F.B.4,8.F.B.4,"Construct a function to model a linear relationship between two quantities. Determine the rate of change and initial value of the function from a description of a relationship or from two (x, y) values, including reading these from a table or from a graph. Interpret the rate of change and initial value of a linear function in terms of the situation it models, and in terms of its graph or a table of values.",Functions,Topic 3: Use Functions to Model Relationships,Term 1,,,,,
8.F.B.5,8.F.B.5,"Describe qualitatively the functional relationship between two quantities by analyzing a graph (e.g., where the function is increasing or decreasing, linear or nonlinear). Sketch a graph that exhibits the qualitative features of a function that has been described verbally.",Functions,Topic 3: Use Functions to Model Relationships,Term 1,,,,,
8.SP.A.1,8.SP.A.1,"Construct and interpret scatter plots for bivariate measurement data to investigate patterns of association between two quantities. Describe patterns such as clustering, outliers, positive or negative association, linear association, and nonlinear association.",Statistics and Probability,Topic 4: Investigate Bivariate Data,Term 1,9,,,,
8.SP.A.2,8.SP.A.2,"Know that straight lines are widely used to model relationships between two quantitative variables. For scatter plots that suggest a linear association, informally fit a straight line and informally assess the model fit by judging the closeness of the data points to the line.",Statistics and Probability,Topic 4: Investigate Bivariate Data,Term 1,,,,,
8.SP.A.3,8.SP.A.3,"Use the equation of a linear model to solve problems in the context of bivariate measurement data, interpreting the slope and intercept. For example, in a linear model for a biology experiment, interpret a slope of 1.5 cm/hr as meaning that an additional hour of sunlight each day is associated with an additional 1.5 cm in mature plant height.",Statistics and Probability,Topic 4: Investigate Bivariate Data,Term 1,,,,,
8.SP.A.4,8.SP.A.4,"Understand that patterns of association can also be seen in bivariate categorical data by displaying frequencies and relative frequencies in a two-way table. Construct and interpret a two-way table summarizing data on two categorical variables collected from the same subjects. Use relative frequencies calculated for rows or columns to describe possible association between the two variables. For example, collect data from students in your class on whether or not they have a curfew on school nights and whether or not they have assigned chores at home. Is there evidence that those who have a curfew also tend to have chores?",Statistics and Probability,Topic 4: Investigate Bivariate Data,Term 1,,,,,
8.F.A.3,8.F.A.3,"Interpret the equation y = mx + b as defining a linear function whose graph is a straight line; give examples of functions that are not linear. For example, the function A = s2 giving the area of a square as a function of its side length is not linear because its graph contains the points (1, 1), (2, 4) and (3, 9), which are not on a straight line.",Functions,Topic 4: Investigate Bivariate Data,Term 1,,,,,
8.F.B.4,8.F.B.4,"Construct a function to model a linear relationship between two quantities. Determine the rate of change and initial value of the function from a description of a relationship or from two (x, y) values, including reading these from a table or from a graph. Interpret the rate of change and initial value of a linear function in terms of the situation it models, and in terms of its graph or a table of values.",Functions,Topic 4: Investigate Bivariate Data,Term 1,,,,,
8.EE.C.8,8.EE.C.8,Analyze and solve pairs of simultaneous linear equations.,Expressions and Equations,Topic 5: Analyze and Solve Systems of Linear Equations,Term 1,6,,,,
8.EE.C.8,8.EE.C.8.a,"Understand that solutions to a system of two linear equations in two variables correspond to points of intersection of their graphs, because points of intersection satisfy both equations simultaneously.",Expressions and Equations,Topic 5: Analyze and Solve Systems of Linear Equations,Term 1,,,,,
8.EE.C.8,8.EE.C.8.b,"Solve systems of two linear equations in two variables algebraically (using substitution and elimination strategies), and estimate solutions by graphing the equations. Solve simple cases by inspection. For example, 3x + 2y = 5 and 3x + 2y = 6 have no solution because 3x + 2y cannot simultaneously be 5 and 6.",Expressions and Equations,Topic 5: Analyze and Solve Systems of Linear Equations,Term 1,,,,,
8.EE.C.8,8.EE.C.8.c,"Solve real-world and mathematical problems leading to two linear equations in two variables. For example, given coordinates for two pairs of points, determine whether the line through the first pair of points intersects the line through the second pair.",Expressions and Equations,Topic 5: Analyze and Solve Systems of Linear Equations,Term 1,,,,,
8.G.A.1,8.G.A.1,"Verify experimentally the properties of rotations, reflections, and translations:",Geometry,Topic 6: Congruence and Similarity,Term 1,14,,,,
8.G.A.1.a,8.G.A.1,"Lines are transformed to lines, and line segments to line segments of the same length.",Geometry,Topic 6: Congruence and Similarity,Term 1,,,,,
8.G.A.1.b,8.G.A.1,Angles are transformed to angles of the same measure.,Geometry,Topic 6: Congruence and Similarity,Term 1,,,,,
8.G.A.1.c,8.G.A.1,Parallel lines are transformed to parallel lines.,Geometry,Topic 6: Congruence and Similarity,Term 1,,,,,
8.G.A.2,8.G.A.2,"Understand that a two-dimensional figure is congruent to another if the second can be obtained from the first by a sequence of rotations, reflections, and translations. Given two congruent figures, describe a sequence that exhibits the congruence between them.",Geometry,Topic 6: Congruence and Similarity,Term 1,,,,,
8.G.A.3,8.G.A.3,"Describe the effects of dilations, translations, rotations, and reflections on two-dimensional figures using coordinates.",Geometry,Topic 6: Congruence and Similarity,Term 1,,,,,
8.G.A.4,8.G.A.4,"Understand that a two-dimensional figure is similar to another if the second can be obtained from the
first by a sequence of rotations, reflections, translations, and dilations. Given two similar twodimensional figures, describe a sequence that exhibits the similarity between them.",Geometry,Topic 6: Congruence and Similarity,Term 1,,,,,
8.G.A.5,8.G.A.5,"Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles. For example, arrange three copies of the same triangle so that the sum of the three angles appears to form a line, and give an argument in terms of transversals why this is so.",Geometry,Topic 6: Congruence and Similarity,Term 1,,,,,
8.G.B.6,8.G.B.6,Understand and apply the Pythagorean Theorem.,Geometry,Topic 7: Understand and Apply the Pythagorean Theorem,Term 1,8,,,,
8.G.B.6.a,8.G.B.6,Understand the relationship among the sides of a right triangle.,Geometry,Topic 7: Understand and Apply the Pythagorean Theorem,Term 1,,,,,
8.G.B.6.b,8.G.B.6,"Analyze and justify the Pythagorean Theorem and its converse using pictures, diagrams, narratives, or models.",Geometry,Topic 7: Understand and Apply the Pythagorean Theorem,Term 1,,,,,
8.G.B.7,8.G.B.7,Apply the Pythagorean Theorem to determine unknown side lengths in right triangles in real-world and mathematical problems in two and three dimensions.,Geometry,Topic 7: Understand and Apply the Pythagorean Theorem,Term 1,,,,,
8.G.B.8,8.G.B.8, Apply the Pythagorean Theorem to find the distance between two points in a coordinate system.,Geometry,Topic 7: Understand and Apply the Pythagorean Theorem,Term 1,,,,,
8.G.C.9,8.G.C.9,"Know the formulas for the volumes of cones, cylinders, and spheres, and use them to solve real-world and mathematical problems.",Geometry,Topic 8: Solve Problems Involving Surface Area and Volume,Term 1,8,,,,