Standard,Standard_Item_Report,Description,Reporting Category,Domain,Cluster,Unit,Term,Number of Class Sessions Including Review and Assessment,Instructional Days,Needed Calendar Days
AI.A-SSE.A.1,AI.A-SSE.A.1 MI.A-SSE.A.1,Interpret expressions that represent a quantity in terms of its context.,Algebra,Seeing Structure in Expressions,,,,,,
AI.N-Q.A.1,AI.N-Q.A.1 MI.N-Q.A.1,Use units as a way to understand problems and to guide the solution of multi-step problems; choose and interpret units consistently in formulas; choose and interpret the scale and the origin in graphs and data displays.,Number and Quantity,Quantities,,Topic 1: Real Numbers,Term 1,,,0
AI.N-Q.A.2,AI.N-Q.A.2 MI.N-Q.A.2,Define appropriate quantities for the purpose of descriptive modeling.,Number and Quantity,Quantities,,,,,,
AI.N-Q.A.3,AI.N-Q.A.3 MI.N-Q.A.3,Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.,Number and Quantity,Quantities,,,,,,
AI.N-RN.A.1,AI.N-RN.A.1 MII.N-RN.A.1,"Explain how the definition of the meaning of rational exponents follows from extending the properties of integer exponents to those values, allowing for a notation for radicals in terms of rational exponents. For example, we define 51/3 to be the cube root of 5 because we want (51/3) 3 = 5(1/3) 3 to hold, so (51/3) 3 must equal 5.",Number and Quantity,The Real Number System,,,,,,
AI.N-RN.A.2,AI.N-RN.A.2 MII.N-RN.A.2,Rewrite expressions involving radicals and rational exponents using the properties of exponents.,Number and Quantity,The Real Number System,,,,,,
AI.N-RN.B3,AI.N-RN.B3 MII.N-RN.B3,"Explain why the sum or product of two rational numbers is rational; that the sum of a rational number
and an irrational number is irrational; and that the product of a nonzero rational number and an
irrational number is irrational.",Number and Quantity,The Real Number System,,,,,,
AI.A-SSE.A.1,AI.A-SSE.A.1.a MI.A-SSE.A.1.a MII.A-SSE.A.1.a,"Interpret parts of an expression, such as terms, factors, and coefficients.",Algebra,Seeing Structure in Expressions,,,,,,
AI.A-SSE.A.1,AI.A-SSE.A.1.b MI.A-SSE.A.1.b MII.A-SSE.A.1.b,"Interpret complicated expressions by viewing one or more of their parts as a single entity. For example, interpret P(1 + r)t as the product of P and a factor not depending on P.",Algebra,Seeing Structure in Expressions,,,,,,
AI.A-SSE.A.2,AI.A-SSE.A.2 MII.A-SSE.A.2,"Use the structure of an expression to identify ways to rewrite it. For example, see (x + 2)2 – 9 as a difference of squares that can be factored as ((x + 2) + 3)((x + 2 ) – 3).",Algebra,Seeing Structure in Expressions,,,,,,
AI.A-SSE.B.3,AI.A-SSE.B.3 MII.A-SSE.B.3,"Choose and produce an equivalent form of an expression to reveal and explain properties of the
quantity represented by the expression.",Algebra,Seeing Structure in Expressions,,,,,,
AI.A-SSE.B.3,AI.A-SSE.B.3.a MII.A-SSE.B.3.a,Factor a quadratic expression to reveal the zeros of the function it defines.,Algebra,Seeing Structure in Expressions,,,,,,
AI.A-SSE.B.3,AI.A-SSE.B.3.b MII.A-SSE.B.3.b,Complete the square in a quadratic expression to reveal the maximum or minimum value of the function it defines.,Algebra,Seeing Structure in Expressions,,,,,,
AI.A-SSE.B.3,AI.A-SSE.B.3.c MII.A-SSE.B.3.c,"Use the properties of exponents to transform expressions for exponential functions. For example, the expression 1.15t
can be rewritten as (1.151/12) 12t ≈ 1.01212t to reveal the approximateequivalent monthly interest rate if the annual rate is 15%.",Algebra,Seeing Structure in Expressions,,,,,,
AI.A-APR.A.1,AI.A-APR.A.1 MII.A-APR.A.1,"Understand that polynomials form a system analogous to the integers, namely, they are closed under
certain operations. ",Algebra,Arithmetic with Polynomials and Rational Expressions,,,,,,
AI.A-APR.A.1.a,AI.A-APR.A.1 MII.A-APR.A.1,"Perform operations on polynomial expressions (addition, subtraction, multiplication), and compare the system of polynomials to the system of integers when performing operations.",Algebra,Arithmetic with Polynomials and Rational Expressions,,,,,,
AI.A-APR.A.1.b,AI.A-APR.A.1 MII.A-APR.A.1,"Factor and/or expand polynomial expressions, identify and combine like terms, and apply the
Distributive property. ",Algebra,Arithmetic with Polynomials and Rational Expressions,,,,,,
AI.A-CED.A.1,AI.A-CED.A.1 MI.A-CED.A.1 MII.A-CED.A.1,"Create equations and inequalities in one variable and use them to solve problems. (Include equations arising from linear, quadratic, and exponential functions with integer exponents.)",Algebra,Creating Equations,,,,,,
AI.A-CED.A.2,AI.A-CED.A.2 MI.A-CED.A.2 MII.A-CED.A.2,Create equations in two or more variables to represent relationships between quantities; graph equations on coordinate axes with labels and scales.,Algebra,Creating Equations,,,,,,
AI.A-CED.A.3,AI.A-CED.A.3 MI.A-CED.A.3,"Represent constraints by linear equations or inequalities, and by systems of linear equations and/or inequalities, and interpret solutions as viable or non-viable options in a modeling context. For example, represent inequalities describing nutritional and cost constraints on combinations of different foods.",Algebra,Creating Equations,,,,,,
AI.A-CED.A.4,AI.A-CED.A.4 MI.A-CED.A.4,"Rearrange formulas to highlight a quantity of interest using the same reasoning as in solving equations (Properties of equality). For example, rearrange Ohm’s law to solve for voltage, V. Manipulate variables in formulas used in financial contexts such as for simple interest, I=Prt .",Algebra,Creating Equations,,,,,,
AI.A-REI.A.1,AI.A-REI.A.1 MI.A-REI.A.1,"Explain each step in solving a simple equation as following from the equality of numbers asserted at the previous step, starting from the assumption that the original equation has a solution. Construct a viable argument to justify or refute a solution method.",Algebra,Reasoning with Equations and Inequalities,,,,,,
AI.A-REI.B.3,AI.A-REI.B.3 MI.A-REI.B.3,"Solve linear equations and inequalities in one variable, including equations with coefficients represented by letters.",Algebra,Reasoning with Equations and Inequalities,,,,,,
AI.A-REI.B.3.a,AI.A-REI.B.3 MI.A-REI.B.3,Solve linear equations and inequalities in one variable involving absolute value.,Algebra,Reasoning with Equations and Inequalities,,,,,,
AI.A-REI.B.4,AI.A-REI.B.4 MII.A-REI.B.4,Solve quadratic equations in one variable.,Algebra,Reasoning with Equations and Inequalities,,,,,,
AI.A-REI.B.4.a,AI.A-REI.B.4 MII.A-REI.B.4,Use the method of completing the square to transform any quadratic equation in x into an equation of the form (x – p) 2 = q that has the same solutions. Derive the quadratic formula from this form.,Algebra,Reasoning with Equations and Inequalities,,,,,,
AI.A-REI.B.4.b,AI.A-REI.B.4 MII.A-REI.B.4," Solve quadratic equations by inspection (e.g., for x2 = 49), taking square roots, completing the
square, the quadratic formula, and factoring, as appropriate to the initial form of the equation.
Recognize when the solutions of a quadratic equation results in non-real solutions and write them
as a ± bi for real numbers a and b.",Algebra,Reasoning with Equations and Inequalities,,,,,,
AI.A-REI.C.5,AI.A-REI.C.5 MI.A-REI.C.5,"Prove that, given a system of two equations in two variables, replacing one equation by the sum of that equation and a multiple of the other produces a system with the same solutions.",Algebra,Reasoning with Equations and Inequalities,,,,,,
AI.A-REI.C.6,AI.A-REI.C.6 MI.A-REI.C.6,"Solve systems of linear equations exactly and approximately (e.g., with graphs), focusing on pairs of linear equations in two variables.",Algebra,Reasoning with Equations and Inequalities,,,,,,
AI.A-REI.C.7,AI.A-REI.C.7 MII.A-REI.C.7,"Solve a simple system consisting of a linear equation and a quadratic equation in two variables algebraically and graphically. For example, find the points of intersection between the line y = –3x and the circle x2 + y2 = 3.",Algebra,Reasoning with Equations and Inequalities,,,,,,
AI.A-REI.D.10,AI.A-REI.D.10 MI.A-REI.D.10,"Understand that the graph of an equation in two variables is the set of all its solutions plotted in the
coordinate plane, often forming a curve (which could be a line). Show that any point on the graph of an
equation in two variables is a solution to the equation.",Algebra,Reasoning with Equations and Inequalities,,,,,,
AI.A-REI.D.11,AI.A-REI.D.11 MI.A-REI.D.11,"Explain why the x-coordinates of the points where the graphs of the equations y = f(x) and y = g(x) intersect are the solutions of the equation f(x) = g(x); find the solutions approximately, e.g., using Massachusetts Curriculum Framework for Mathematics 112 technology to graph the functions and make tables of values. Include cases where f(x) and/or g(x) are linear and exponential functions.",Algebra,Reasoning with Equations and Inequalities,,,,,,
AI.A-REI.D.12,AI.A-REI.D.12 MI.A-REI.D.12,"Graph the solutions of a linear inequality in two variables as a half-plane (excluding the boundary in the
case of a strict inequality), and graph the solution set of a system of linear inequalities in two variables
as the intersection of the corresponding half-planes.",Algebra,Reasoning with Equations and Inequalities,,,,,,
AI.F-IF.A.1,AI.F-IF.A.1 MI.F-IF.A.1,"Understand that a function from one set (called the domain) to another set (called the range) assigns to each element of the domain exactly one element of the range. If f is a function and x is an element of its domain, then f(x) denotes the output (range) of f corresponding to the input x. The graph of f is the graph of the equation y = f(x).",Functions,Interpreting Functions,,,,,,
AI.F-IF.A.2,AI.F-IF.A.2 MI.F-IF.A.2,"Use function notation, evaluate functions for inputs in their domains, and interpret statements that use function notation in terms of a context. For example, given a function representing a car loan, determine the balance of the loan at different points in time.",Functions,Interpreting Functions,,,,,,
AI.F-IF.A.3,AI.F-IF.A.3 MI.F-IF.A.3,"Recognize that sequences are functions, sometimes defined recursively, whose domain is a subset of the integers. For example, the Fibonacci sequence is defined recursively by f(0) = f(1) = 1, f(n + 1) = f(n) + f(n + 1) for n ≥ 1.",Functions,Interpreting Functions,,,,,,
AI.F-IF.B.4,AI.F-IF.B.4 MI.F-IF.B.4,"For a function that models a relationship between two quantities, interpret key features of graphs and tables in terms of the quantities, and sketch graphs showing key features given a verbal description of the relationship. Key features include: intercepts; intervals where the function is increasing, decreasing, positive, or negative; relative maximums and minimums; symmetries; and end behavior.",Functions,Interpreting Functions,,,,,,
AI.F-IF.B.5,AI.F-IF.B.5 MI.F-IF.B.5 MII.F-IF.B.5,"Relate the domain of a function to its graph and, where applicable, to the quantitative relationship it describes. For example, if the function h(n) gives the number of person-hours it takes to assemble n engines in a factory, then the positive integers would be an appropriate domain for the function",Functions,Interpreting Functions,,,,,,
AI.F-IF.B.6,AI.F-IF.B.6 MI.F-IF.B.6 MII.F-IF.B.6,Calculate and interpret the average rate of change of a function (presented symbolically or as a table) over a specified interval. Estimate the rate of change from a graph.,Functions,Interpreting Functions,,,,,,
AI.F-IF.C.7,AI.F-IF.C.7 MI.F-IF.C.7 MII.F-IF.C.7," Graph functions expressed symbolically and show key features of the graph, by hand in simple cases and
using technology for more complicated cases.",Functions,Interpreting Functions,,,,,,
AI.F-IF.C.7.a,AI.F-IF.C.7 MI.F-IF.C.7 MII.F-IF.C.7,"Graph linear and quadratic functions and show intercepts, maxima, and minima.",Functions,Interpreting Functions,,,,,,
AI.F-IF.C.7.b,AI.F-IF.C.7 MII.F-IF.C.7,"Graph piecewise-defined functions, including step functions and absolute value functions.",Functions,Interpreting Functions,,,,,,
AI.F-IF.C.7.e,AI.F-IF.C.7 MI.F-IF.C.7,Graph exponential functions showing intercepts and end behavior.,Functions,Interpreting Functions,,,,,,
AI.F-IF.C.8,AI.F-IF.C.8 MII.F-IF.C.8,"Use the process of factoring and completing the square in a quadratic function to show zeros, maximum/minimum values, and symmetry of the graph, and interpret these in terms of a context.",Functions,Interpreting Functions,,,,,,
AI.F-IF.C.8.a,AI.F-IF.C.8 MII.F-IF.C.8,"Use the process of factoring and completing the square in a quadratic function to show zeros, maximum/minimum values, and symmetry of the graph, and interpret these in terms of a context.",Functions,Interpreting Functions,,,,,,
AI.F-IF.C.8.b,AI.F-IF.C.8 MII.F-IF.C.8,"Use the properties of exponents to interpret expressions for exponential functions. Apply to
financial situations such as identifying appreciation and depreciation rate for the value of a
house or car some time after its initial purchase: .
For example, identify percent rate of change in functions such as y = (1.02)t, y = (0.97)t, y = (1.01)12t,and y = (1.2) t ∕10, and classify them as representing exponential growth or decay.",Functions,Interpreting Functions,,,,,,
AI.F-IF.C.9,AI.F-IF.C.9 MI.F-IF.C.9 MII.F-IF.C.9,"Translate among different representations of functions (algebraically, graphically, numerically in tables,
or by verbal descriptions). Compare properties of two functions each represented in a different way. 
Massachusetts Curriculum Framework for Mathematics 113
For example, given a graph of one quadratic function and an algebraic expression for another, say
which has the larger maximum. ",Functions,Interpreting Functions,,,,,,
AI.F-BF.A.1,AI.F-BF.A.1 MI.F-BF.A.1  MII.F-BF.A.1,"Write linear, quadratic, and exponential functions that describe a relationship between
two quantities.",Functions,Building Functions,,,,,,
AI.F-BF.A.1.a,AI.F-BF.A.1 MI.F-BF.A.1  MII.F-BF.A.1,"Determine an explicit expression, a recursive process, or steps for calculation from a context.",Functions,Building Functions,,,,,,
AI.F-BF.A.1.b,AI.F-BF.A.1 MI.F-BF.A.1  MII.F-BF.A.1,"Combine standard function types using arithmetic operations.
For example, build a function that models the temperature of a cooling body by adding a constant
function to a decaying exponential, and relate these functions to the model.",Functions,Building Functions,,,,,,
AI.F-BF.A.2,AI.F-BF.A.2 MI.F-BF.A.2,"Write arithmetic and geometric sequences both recursively and with an explicit formula them to model
situations, and translate between the two forms.",Functions,Building Functions,,,,,,
AI.F-BF.B.3,AI.F-BF.B.3 MI.F-BF.B.3 MII.F-BF.B.3,"Identify the effect on the graph of replacing f(x) by f(x) + k, kf(x), f(kx), and f (x + k) for specific values of k (both positive and negative); find the value of k given the graphs. Include linear, quadratic, exponential, and absolute value functions. Utilize technology to experiment with cases and illustrate an explanation of the effects on the graph.",Functions,Building Functions,,,,,,
AI.F-BF.B.4,AI.F-BF.B.4 MII.F-BF.B.4,Find inverse functions algebraically and graphically,Functions,Building Functions,,,,,,
AI.F-BF.B.4.a,AI.F-BF.B.4 MII.F-BF.B.4,Solve an equation of the form f(x) = c for a linear function f that has an inverse and write an expression for the inverse.,Functions,Building Functions,,,,,,
AI.F-LE.A1,AI.F-LE.A.1 MI.F-LE.A.1,Distinguish between situations that can be modeled with linear functions and with exponential functions.,Functions,Linear Quadratic and Exponential Models,,,,,,
AI.F-LE.A.1.a,AI.F-LE.A.1 MI.F-LE.A.1,"Prove that linear functions grow by equal differences over equal intervals, and that exponential functions grow by equal factors over equal intervals.",Functions,Linear Quadratic and Exponential Models,,,,,,
AI.F-LE.A.1.b,AI.F-LE.A.1 MI.F-LE.A.1,Recognize situations in which one quantity changes at a constant rate per unit interval relative to another,Functions,Linear Quadratic and Exponential Models,,,,,,
AI.F-LE.A.1.c,AI.F-LE.A.1 MI.F-LE.A.1,Recognize situations in which a quantity grows or decays by a constant percent rate per unit interval relative to another.,Functions,Linear Quadratic and Exponential Models,,Topic 6: Exponents and Exponential Functions,,,,
AI.F-LE.A.2,AI.F-LE.A.2 MI.F-LE.A.2,"Construct linear and exponential functions, including arithmetic and geometric sequences, given a graph, a description of a relationship, or two input-output pairs (including reading these from a table).",Functions,Linear Quadratic and Exponential Models,,,,,,
AI.F-LE.A.3,AI.F-LE.A.3 MI.F-LE.A.3 MII.F-LE.A.3,"Observe, using graphs and tables, that a quantity increasing exponentially eventually exceeds a quantity increasing linearly, quadratically, or (more generally) as a polynomial function.",Functions,Linear Quadratic and Exponential Models,,,,,,
AI.F-LE.B.5,AI.F-LE.B.5 MI.F-LE.B.5, Interpret the parameters in a linear or exponential function (of the form f(x) = bx + k) in terms of a context.,Functions,Linear Quadratic and Exponential Models,,,,,,
AI.S-ID.A.1,AI.S-ID.A.1 MI.S-ID.A.1,"Represent data with plots on the real number line (dot plots, histograms, and box plots).",Statistics and Probability,Interpreting Categorical and Quantitative Data,,,,,,
AI.S-ID.A.2,AI.S-ID.A.2 MI.S-ID.A.2,"Use statistics appropriate to the shape of the data distribution to compare center (median, mean) and spread (interquartile range, standard deviation) of two or more different data sets.",Statistics and Probability,Interpreting Categorical and Quantitative Data,,,,,,
AI.S-ID.A.3,AI.S-ID.A.3 MI.S-ID.A.3,"Interpret differences in shape, center, and spread in the context of the data sets, accounting for possible effects of extreme data points (outliers).",Statistics and Probability,Interpreting Categorical and Quantitative Data,,,,,,
AI.S-ID.B.5,AI.S-ID.B.5 MI.S-ID.B.5,"Summarize categorical data for two categories in two-way frequency tables. Interpret relative frequencies in the context of the data (including joint, marginal, and conditional relative frequencies). Recognize possible associations and trends in the data.",Statistics and Probability,Interpreting Categorical and Quantitative Data,,,,,,
AI.S-ID.B.6,AI.S-ID.B.6 M1.S-ID.B.6,"Represent data on two quantitative variables on a scatter plot, and describe how the variables are related.",Statistics and Probability,Interpreting Categorical and Quantitative Data,,,,,,
AI.S-ID.B.6.a,AI.S-ID.B.6 MI.S-ID.B.6,Fit a linear function to the data and use the fitted function to solve problems in the context of the data. Use functions fitted to data or choose a function suggested by the context (emphasize linear and exponential models).,Statistics and Probability,Interpreting Categorical and Quantitative Data,,,,,,
AI.S-ID.B.6.b,AI.S-ID.B.6 MI.S-ID.B.6,Informally assess the fit of a function by plotting and analyzing residuals.,Statistics and Probability,Interpreting Categorical and Quantitative Data,,,,,,
AI.S-ID.B.6.c,AI.S-ID.B.6 MI.S-ID.B.6,Fit a linear function for a scatter plot that suggests a linear association.,Statistics and Probability,Interpreting Categorical and Quantitative Data,,,,,,
AI.S-ID.B.7,AI.S-ID.B.7 MI.S-ID.B.7,Interpret the slope (rate of change) and the intercept (constant term) of a linear model in the context of the data.,Statistics and Probability,Interpreting Categorical and Quantitative Data,,,,,,
AI.S-ID.B.8,AI.S-ID.B.8 MI.S-ID.B.8,Compute (using technology) and interpret the correlation coefficient of a linear fit.,Statistics and Probability,Interpreting Categorical and Quantitative Data,,,,,,
AI.S-ID.B.9,AI.S-ID.B.9 MI.S-ID.B.9,Distinguish between correlation and causation.,Statistics and Probability,Interpreting Categorical and Quantitative Data,,,,,,